BINARY is Alignment Class
BINARY SubClassOf Alignment ArchitecturalOrganization
BINARY is Amphiphilic Class
BINARY SubClassOf Amphiphilic PhysicalProperty
BINARY is Angiogenesis Class
BINARY SubClassOf Angiogenesis AssociatedBiologicalProcess
BINARY is Anisotropy Class
BINARY SubClassOf Anisotropy MechanicalProperty
BINARY is Annealing Class
BINARY SubClassOf Annealing MaterialProcessing
BINARY is Anti-adhesive Class
BINARY SubClassOf Anti-adhesive OtherFeatures
BINARY is AntibioticEluting Class
BINARY SubClassOf AntibioticEluting DrugDelivery
BINARY is Antimycotics Class
BINARY SubClassOf Antimycotics BiologicallyActiveSubstance
BINARY is ArchitecturalOrganization Class
BINARY SubClassOf ArchitecturalOrganization ManufacturedObjectFeatures
BINARY is Archwire Class
BINARY SubClassOf Archwire Wire
BINARY is ArtificialConduits Class
BINARY SubClassOf ArtificialConduits Conduit
BINARY is ArtificialLigament Class
BINARY SubClassOf ArtificialLigament ManufacturedObject
BINARY is AssociatedBiologicalProcess Class
BINARY is BMP Class
BINARY is Bead Class
BINARY SubClassOf Bead Structure
BINARY is Bi-layered Class
BINARY SubClassOf Bi-layered ArchitecturalOrganization
BINARY is Bilayer Class
BINARY SubClassOf Bilayer ArchitecturalOrganization
BINARY is Bilayered Class
BINARY SubClassOf Bilayered ArchitecturalOrganization
BINARY is Biocomposite Class
BINARY SubClassOf Biocomposite Composite
BINARY is Biodegradability Class
BINARY SubClassOf Biodegradability DegradationFeatures,
BINARY SubClassOf Biodegradability biodegradable_value_true
BINARY is Biofabrication Class
BINARY SubClassOf Biofabrication MaterialProcessing
BINARY is Biohybrid Class
BINARY SubClassOf Biohybrid OtherFeatures
BINARY is BiologicallyActiveSubstance Class
BINARY is Biomaterial Class
BINARY is BiomaterialType Class
BINARY is Biomineralization Class
BINARY SubClassOf Biomineralization Mineralization
BINARY is Biopolymer Class
BINARY SubClassOf Biopolymer Polymer
BINARY is Biphasic Class
BINARY SubClassOf Biphasic OtherFeatures
BINARY is Blending Class
BINARY SubClassOf Blending MaterialProcessing
BINARY is Bonding Class
