BINARY is string Datatype
BINARY equiv SOPHARM_90000 (SOPHARM_00001_some_SOPHARM_13000)_and_(SOPHARM_00001_only_SOPHARM_13000)
BINARY is Thing, www.w3.org/2002/07/#
BINARY is Thing, SOPHARM_00000_some_SOPHARM_50000
BINARY is www.-ontologies.com/Ontology1178899652.# Class
BINARY SubClassOf www.-ontologies.com/Ontology1178899652.# SOPHARM_62120
BINARY is www.w3.org/2002/07/# Class
BINARY is A Individual
BINARY is dna_sequence www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is G Individual
BINARY is dna_sequence www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is G_A Individual
BINARY is nucleotide_variation www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is LDLR Individual
BINARY is gene www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is LDLR_exon_9 Individual
BINARY is exon www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is NT_011295_2486854 Individual
BINARY is sequence_position www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is NT_011295_36_2 Individual
BINARY is dna_sequence www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.#
BINARY is chr19 Individual
