BINARY SubClassOf Self_managment Non_pharmacological_treatment
BINARY is Semi-rigid Class
BINARY SubClassOf Semi-rigid Penile_prosthesis
BINARY is Setting_aside_some_time_in_the_morning_for_sexual_activity Class
BINARY SubClassOf Setting_aside_some_time_in_the_morning_for_sexual_activity Minimize_fatigue
BINARY is Sex_therapist Class
BINARY SubClassOf Sex_therapist Refer_to
BINARY is Short-term_patching_of_one_eye Class
BINARY SubClassOf Short-term_patching_of_one_eye Recommendation_for_Vision_problems
BINARY is Sit_upright_when_eating_or_drinking Class
BINARY SubClassOf Sit_upright_when_eating_or_drinking Recommendation_for_dysphagia
BINARY is Speaking_half_words_on_each_breath Class
BINARY SubClassOf Speaking_half_words_on_each_breath Recommendation_for_dysarthria
BINARY is Special-purpose_diaries_mental_tricks Class
BINARY SubClassOf Special-purpose_diaries_mental_tricks Recommendation_for_cognitive_problems
BINARY is Speech_therapy_rehabilitation Class
BINARY SubClassOf Speech_therapy_rehabilitation Rehabilitation
BINARY is Splints Class
BINARY SubClassOf Splints Assistive_devices
BINARY is Stay_cool Class
BINARY SubClassOf Stay_cool Recommendation_for_fatigue_problems
BINARY is Stimulation Class
BINARY SubClassOf Stimulation Non_pharmacological_treatment
BINARY is Stop_smoking Class
BINARY SubClassOf Stop_smoking Recommendation_for_fatigue_problems
BINARY is Strengthening Class
BINARY SubClassOf Strengthening Exercise
BINARY is Stress_management Class
BINARY SubClassOf Stress_management Psychotherapy
BINARY is Stretching Class
BINARY SubClassOf Stretching Exercise
BINARY is Surgery Class
BINARY SubClassOf Surgery treatment_plan,
BINARY SubClassOf Surgery has_order_value_3
BINARY is Tai_chi Class
BINARY SubClassOf Tai_chi chinese_medicine
BINARY is Take_naps Class
BINARY SubClassOf Take_naps Recommendation_for_fatigue_problems
BINARY is Take_one_small_bite_or_sip_at_a_time Class
BINARY SubClassOf Take_one_small_bite_or_sip_at_a_time Recommendation_for_dysphagia
BINARY is Taking_stool_softeners_or_laxatives Class
BINARY SubClassOf Taking_stool_softeners_or_laxatives Recommendation_for_Bowel_disturbance
BINARY is Talking_in_sexy_ways Class
BINARY SubClassOf Talking_in_sexy_ways Minimize_Distractibility
BINARY is Telescopic_eyewear Class
BINARY SubClassOf Telescopic_eyewear Optical_device
BINARY is Tenotomy Class
BINARY SubClassOf Tenotomy Invasive
BINARY is Thalamotomy Class
BINARY SubClassOf Thalamotomy Invasive
BINARY is Thermal_modalities Class
BINARY SubClassOf Thermal_modalities Non_pharmacological_treatment
BINARY is Time-management_strategies Class
BINARY SubClassOf Time-management_strategies Recommendation_for_cognitive_problems
BINARY is Timed_voiding Class
BINARY SubClassOf Timed_voiding Behavioral_self-management
BINARY is Traditional_medicine Class
BINARY SubClassOf Traditional_medicine Complementary_treatment
BINARY is Transcutaneous_Electrical_Nerve_Stimulation Class
BINARY SubClassOf Transcutaneous_Electrical_Nerve_Stimulation Stimulation
BINARY is Treadmill_walking Class
BINARY SubClassOf Treadmill_walking Exercise
BINARY is Urologiest Class
BINARY SubClassOf Urologiest Refer_to
BINARY is Use_mental_pictures Class
BINARY SubClassOf Use_mental_pictures Memory_aids
BINARY is Using_incontinence_pads Class
BINARY SubClassOf Using_incontinence_pads Recommendation_for_Urinary_problems
BINARY is Using_pillows_to_improve_positioning_and_reduce_muscle_strain Class
BINARY SubClassOf Using_pillows_to_improve_positioning_and_reduce_muscle_strain Minimize_weakness
BINARY is Using_sensual_music_and_lighting Class
BINARY SubClassOf Using_sensual_music_and_lighting Minimize_Distractibility
BINARY is Velopharyngeal_surgery Class
BINARY SubClassOf Velopharyngeal_surgery Surgery
BINARY is Velum_prosthesis Class
BINARY SubClassOf Velum_prosthesis Prosthetic_device
BINARY is Ventilator Class
BINARY SubClassOf Ventilator Assistive_devices
BINARY is Vestibular_rehabilitation Class
BINARY SubClassOf Vestibular_rehabilitation Rehabilitation
BINARY is Video_games Class
BINARY SubClassOf Video_games Game_therapy
BINARY is Walker Class
BINARY SubClassOf Walker Assistive_devices
BINARY is Wearing_a_condom Class
BINARY SubClassOf Wearing_a_condom Minimize_urinary_problems
BINARY is Weighted_boots Class
BINARY SubClassOf Weighted_boots Weights_fastened
BINARY is Weighted_spoons_or_forks Class
BINARY SubClassOf Weighted_spoons_or_forks Weights_fastened
BINARY is Weights_fastened Class
BINARY SubClassOf Weights_fastened Assistive_devices
BINARY is Wheelchair Class
BINARY SubClassOf Wheelchair Assistive_devices
BINARY is Whole_Body_Vibration Class
BINARY SubClassOf Whole_Body_Vibration Stimulation
BINARY is Wrist_rests Class
BINARY SubClassOf Wrist_rests Assistive_devices
BINARY is Writing_things_down_in_notebooks Class
BINARY SubClassOf Writing_things_down_in_notebooks Memory_aids
BINARY is Yoga Class
BINARY is Timing_exercises www.co-ode.org/ontologies/ont.#
BINARY is audiologist Class
BINARY SubClassOf audiologist Refer_to
BINARY is chinese_medicine Class
BINARY SubClassOf chinese_medicine Traditional_medicine
BINARY is laugh_therapy Class
BINARY SubClassOf laugh_therapy Massage_therapy
BINARY is relaxation_techniques Class
BINARY SubClassOf relaxation_techniques Behavioral_self-management
BINARY is schema_therapy Class
BINARY SubClassOf schema_therapy Psychotherapy
BINARY is story_therapy Class
BINARY SubClassOf story_therapy Psychotherapy
BINARY is time_of_monitoring Class
